version,currency,min,max,avg,median,volume,souvenir,stat_trak,weapon,skin,condition
,USD,4.06,8.61,5.35,4.87,7,True,False,Souvenir AK-47,Steel Delta,2
,USD,58.03,58.03,58.03,58.03,1,False,False,AK-47,Black Laminate,1
,USD,27.33,35.98,32.02,31.67,7,False,False,AK-47,Aquamarine Revenge,0
,USD,2485.4,2625.52,2555.46,2555.46,2,False,False,AK-47,Fire Serpent,4
,USD,9.23,9.68,9.46,9.45,2,False,False,AK-47,Predator,0
,USD,321.5,321.5,321.5,321.5,1,False,False,AWP,Oni Taiji,0
,USD,39.21,39.21,39.21,39.21,1,False,False,AK-47,Black Laminate,0
,USD,2.04,11.51,3.25,2.66,14,False,False,AK-47,Emerald Pinstripe,1
,USD,503.44,621.38,551.24,551.31,7,False,False,AK-47,Fire Serpent,0
,USD,84.9,150.87,115.58,118.97,5,False,False,AK-47,First Class,2
,USD,451.11,455.73,453.42,453.42,2,False,False,AK-47,Red Laminate,4
,USD,61.22,81.84,71.32,70.28,7,False,False,AK-47,Jaguar,0
,USD,738.82,738.82,738.82,738.82,1,False,False,AK-47,Jaguar,4
,USD,86.13,97.81,91.97,91.97,2,False,False,AK-47,Neon Revolution,1
,USD,23.21,75.74,30.71,25.58,10,False,False,AK-47,Redline,0
,USD,21.34,30.83,27.0,27.32,12,False,False,AK-47,Redline,1
,USD,232.13,254.11,243.12,243.12,2,False,False,AK-47,First Class,4
,USD,696.39,696.39,696.39,696.39,1,False,False,AK-47,Jet Set,2
,USD,25.93,33.28,29.27,28.94,4,False,False,AK-47,Orbit Mk01,1
,USD,13.16,15.74,14.76,14.96,5,False,False,AK-47,Point Disarray,0
,USD,6287.22,6962.74,6786.76,6948.53,4,False,False,AWP,Dragon Lore,2
,USD,24.36,32.49,28.42,28.42,2,False,False,AWP,Sun in Leo,0
,USD,93.46,126.43,105.31,100.67,4,False,False,AWP,Elite Build,4
,USD,23.18,24.94,23.85,23.42,3,False,False,AWP,Sun in Leo,1
,USD,11.95,13.65,12.63,12.21,5,False,False,AWP,Elite Build,1
,USD,158.68,209.13,184.51,185.7,3,False,False,AWP,Graphite,3
,USD,11.44,16.52,13.08,12.57,5,False,False,AWP,Fever Dream,0
,USD,1615.72,2317.57,1867.1,1767.57,4,False,False,AWP,Medusa,0
,USD,638.36,921.21,732.79,698.26,5,False,False,AWP,Oni Taiji,4
,USD,29.29,52.22,37.11,33.45,4,False,False,AWP,Pink DDPAT,0
,USD,3.96,4.29,4.13,4.16,3,False,False,AWP,Mortis,1
,USD,0.12,0.6000000000000001,0.23,0.16,6,False,False,AWP,Safari Mesh,1
,USD,3.02,3.42,3.23,3.23,2,False,False,AWP,Worm God,1
,USD,35.33,35.33,35.33,35.33,1,False,False,AWP,Pink DDPAT,1
,USD,444.88,444.88,444.88,444.88,1,False,False,M4A4,Daybreak,2
,USD,208.92,208.92,208.92,208.92,1,False,False,M4A4,Buzz Kill,1
,USD,17.75,37.02,25.6,22.04,3,False,False,M4A4,Desert Storm,3
,USD,3.5300000000000002,4.35,3.66,3.55,11,False,False,M4A4,Evil Daimyo,0
